tripduration,starttime,stoptime,start Station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
61,21/09/2015 14:53,21/09/2015 14:54,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,24722,Subscriber,1975,1
290,21/09/2015 14:55,21/09/2015 15:00,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,24388,Customer,,0
786,21/09/2015 14:56,21/09/2015 15:09,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,24442,Subscriber,1962,1
477,21/09/2015 14:58,21/09/2015 15:06,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,24678,Subscriber,1977,2
451,21/09/2015 14:59,21/09/2015 15:07,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24574,Subscriber,1977,2
401,21/09/2015 15:06,21/09/2015 15:12,3195,Sip Ave,40.73074263,-74.06378388,3195,Sip Ave,40.73074263,-74.06378388,24520,Subscriber,1987,2
1215,21/09/2015 15:11,21/09/2015 15:31,3185,City Hall,40.7177325,-74.043845,3209,Brunswick St,40.7241765,-74.0506564,24441,Subscriber,1964,1
1144,21/09/2015 15:11,21/09/2015 15:30,3185,City Hall,40.7177325,-74.043845,3209,Brunswick St,40.7241765,-74.0506564,24719,Subscriber,1961,1
1967,21/09/2015 15:12,21/09/2015 15:44,3185,City Hall,40.7177325,-74.043845,3195,Sip Ave,40.73074263,-74.06378388,24706,Subscriber,1952,1
205,21/09/2015 15:16,21/09/2015 15:20,3195,Sip Ave,40.73074263,-74.06378388,3195,Sip Ave,40.73074263,-74.06378388,24555,Subscriber,1987,2
649,21/09/2015 15:18,21/09/2015 15:28,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,24398,Subscriber,1962,1
550,21/09/2015 15:18,21/09/2015 15:27,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,24486,Subscriber,1967,1
2324,21/09/2015 15:20,21/09/2015 15:59,3212,Christ Hospital,40.73478582,-74.05044364,3212,Christ Hospital,40.73478582,-74.05044364,24392,Subscriber,1965,1
475,21/09/2015 15:20,21/09/2015 15:28,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3192,Liberty Light Rail,40.7112423,-74.0557013,24484,Subscriber,1971,1
445,21/09/2015 15:21,21/09/2015 15:29,3187,Warren St,40.7211236,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,24691,Customer,,0
236,21/09/2015 15:22,21/09/2015 15:26,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,24400,Subscriber,1984,2
961,21/09/2015 15:26,21/09/2015 15:42,3211,Newark Ave,40.72152515,-74.04630454,3186,Grove St PATH,40.71958612,-74.04311746,24617,Subscriber,1983,1
355,21/09/2015 15:26,21/09/2015 15:32,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,24443,Subscriber,1982,1
192,21/09/2015 15:30,21/09/2015 15:34,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,24442,Subscriber,1976,1
1812,21/09/2015 15:32,21/09/2015 16:02,3209,Brunswick St,40.7241765,-74.0506564,3195,Sip Ave,40.73074263,-74.06378388,24723,Subscriber,1961,1
1775,21/09/2015 15:33,21/09/2015 16:03,3209,Brunswick St,40.7241765,-74.0506564,3195,Sip Ave,40.73074263,-74.06378388,24701,Subscriber,1964,1
349,21/09/2015 15:36,21/09/2015 15:42,3203,Hamilton Park,40.72759597,-74.04424731,3211,Newark Ave,40.72152515,-74.04630454,24443,Subscriber,1982,1
513,21/09/2015 15:37,21/09/2015 15:46,3199,Newport Pkwy,40.7287448,-74.0321082,3183,Exchange Place,40.7162469,-74.0334588,24486,Subscriber,1967,1
975,21/09/2015 15:38,21/09/2015 15:54,3211,Newark Ave,40.72152515,-74.04630454,3186,Grove St PATH,40.71958612,-74.04311746,24478,Subscriber,1970,1
1940,21/09/2015 15:41,21/09/2015 16:13,3217,Bayside Park,40.69865054,-74.08207968,3216,Columbia Park,40.6970299,-74.0969366,24547,Subscriber,1948,1
609,21/09/2015 15:41,21/09/2015 15:51,3195,Sip Ave,40.73074263,-74.06378388,3210,Pershing Field,40.74267714,-74.05178863,24529,Subscriber,1963,1
353,21/09/2015 15:43,21/09/2015 15:49,3187,Warren St,40.7211236,-74.03805095,3187,Warren St,40.7211236,-74.03805095,24556,Subscriber,1981,1
529,21/09/2015 15:46,21/09/2015 15:55,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,24655,Subscriber,1981,2
2478,21/09/2015 15:53,21/09/2015 16:34,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,24401,Customer,,0
1001,21/09/2015 15:57,21/09/2015 16:13,3195,Sip Ave,40.73074263,-74.06378388,3186,Grove St PATH,40.71958612,-74.04311746,24706,Subscriber,1952,1
2066,21/09/2015 15:57,21/09/2015 16:31,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,24617,Subscriber,1985,1
200,21/09/2015 15:58,21/09/2015 16:01,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,24614,Subscriber,1983,1
1875,21/09/2015 16:00,21/09/2015 16:31,3196,Riverview Park,40.7443187,-74.0439909,3198,Heights Elevator,40.74871595,-74.0404433,24471,Subscriber,1989,2
395,21/09/2015 16:03,21/09/2015 16:09,3187,Warren St,40.7211236,-74.03805095,3184,Paulus Hook,40.7141454,-74.0335519,24388,Subscriber,1982,1
405,21/09/2015 16:03,21/09/2015 16:10,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24628,Subscriber,1980,1
572,21/09/2015 16:04,21/09/2015 16:13,3214,Essex Light Rail,40.7127742,-74.0364857,3214,Essex Light Rail,40.7127742,-74.0364857,24589,Subscriber,1944,1
1892,21/09/2015 16:06,21/09/2015 16:37,3195,Sip Ave,40.73074263,-74.06378388,3211,Newark Ave,40.72152515,-74.04630454,24523,Subscriber,1964,1
608,21/09/2015 16:06,21/09/2015 16:16,3196,Riverview Park,40.7443187,-74.0439909,3196,Riverview Park,40.7443187,-74.0439909,24720,Customer,,0
1752,21/09/2015 16:08,21/09/2015 16:37,3195,Sip Ave,40.73074263,-74.06378388,3211,Newark Ave,40.72152515,-74.04630454,24667,Subscriber,1961,1
127,21/09/2015 16:09,21/09/2015 16:11,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,24427,Customer,,0
1210,21/09/2015 16:10,21/09/2015 16:30,3183,Exchange Place,40.7162469,-74.0334588,3196,Riverview Park,40.7443187,-74.0439909,24431,Subscriber,1976,1
375,21/09/2015 16:13,21/09/2015 16:20,3184,Paulus Hook,40.7141454,-74.0335519,3187,Warren St,40.7211236,-74.03805095,24481,Subscriber,1982,1
1426,21/09/2015 16:15,21/09/2015 16:39,3216,Columbia Park,40.6970299,-74.0969366,3200,MLK Light Rail,40.7111305,-74.0788855,24547,Subscriber,1948,1
1118,21/09/2015 16:18,21/09/2015 16:37,3198,Heights Elevator,40.74871595,-74.0404433,3186,Grove St PATH,40.71958612,-74.04311746,24500,Subscriber,1951,1
145,21/09/2015 16:23,21/09/2015 16:25,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,24387,Subscriber,1976,1
216,21/09/2015 16:26,21/09/2015 16:30,3185,City Hall,40.7177325,-74.043845,3183,Exchange Place,40.7162469,-74.0334588,24442,Subscriber,1976,1
703,21/09/2015 16:30,21/09/2015 16:42,3199,Newport Pkwy,40.7287448,-74.0321082,3183,Exchange Place,40.7162469,-74.0334588,24521,Customer,,0
195,21/09/2015 16:34,21/09/2015 16:37,3198,Heights Elevator,40.74871595,-74.0404433,3196,Riverview Park,40.7443187,-74.0439909,24471,Subscriber,1989,2
515,21/09/2015 16:37,21/09/2015 16:45,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,24641,Subscriber,1977,2
362,21/09/2015 16:39,21/09/2015 16:45,3186,Grove St PATH,40.71958612,-74.04311746,3214,Essex Light Rail,40.7127742,-74.0364857,24687,Subscriber,1973,1
448,21/09/2015 16:41,21/09/2015 16:48,3211,Newark Ave,40.72152515,-74.04630454,3185,City Hall,40.7177325,-74.043845,24523,Subscriber,1961,1
511,21/09/2015 16:42,21/09/2015 16:51,3202,Newport PATH,40.7272235,-74.0337589,3184,Paulus Hook,40.7141454,-74.0335519,24440,Subscriber,1991,1
287,21/09/2015 16:44,21/09/2015 16:49,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,24706,Subscriber,1972,2
1045,21/09/2015 16:47,21/09/2015 17:04,3187,Warren St,40.7211236,-74.03805095,3207,Oakland Ave,40.7376037,-74.0524783,24481,Subscriber,1989,1
5803,21/09/2015 16:47,21/09/2015 18:24,3188,NJCU,40.7101087,-74.0858489,3188,NJCU,40.7101087,-74.0858489,24409,Customer,,0
5762,21/09/2015 16:48,21/09/2015 18:24,3188,NJCU,40.7101087,-74.0858489,3188,NJCU,40.7101087,-74.0858489,24604,Customer,,0
1302,21/09/2015 16:49,21/09/2015 17:11,3195,Sip Ave,40.73074263,-74.06378388,3202,Newport PATH,40.7272235,-74.0337589,24490,Customer,,0
